simulation_id,scenario,replicate,schedule_patient_id,method,mu_true,theta_true,sigma_true,mu,theta,sigma,finite_estimate,success,n_timepoints,n_transitions,failure_reason,boundary_mu_lower,boundary_mu_upper,boundary_theta_lower,boundary_theta_upper,boundary_sigma_lower,boundary_sigma_upper,max_rhat,min_ess_bulk,min_ess_tail,divergences,max_treedepth_events,mu_lower,mu_upper,theta_lower,theta_upper,sigma_lower,sigma_upper,imputation_source,boundary_contact,reliable_estimate,mu_error,mu_abs_error,mu_relative_error,mu_covered,theta_error,theta_abs_error,theta_relative_error,theta_covered,sigma_error,sigma_abs_error,sigma_relative_error,sigma_covered
S1_R001,S1,1,P8,Bayesian,2.0,0.25,0.25,3.3894437934,0.6921372512,0.4736239469,True,True,6,5,,False,False,False,False,False,False,1.0032512372,840.5518097594,1146.0684204422,0.0,0.0,0.7684031037,6.7010685132,0.0051427202,2.4820235338,0.1969266742,0.8803898057,,False,True,1.3894437934,1.3894437934,0.6947218967,1.0,0.4421372512,0.4421372512,1.7685490048,1.0,0.22362394689999998,0.22362394689999998,0.8944957875999999,1.0
S1_R001,S1,1,P8,MLE,2.0,0.25,0.25,2.706871591727269,2.236950857266631,0.3936000564527668,True,True,6,5,,False,False,False,False,False,False,,,,,,,,,,,,,False,True,0.706871591727269,0.706871591727269,0.3534357958636345,,1.9869508572666308,1.9869508572666308,7.947803429066523,,0.1436000564527668,0.1436000564527668,0.5744002258110672,
S1_R001,S1,1,P8,MoM,2.0,0.25,0.25,2.5729649582212373,0.4406454176742165,0.1164170687026252,True,True,6,5,,False,False,False,False,False,False,,,,,,,,,,,,,False,True,0.5729649582212373,0.5729649582212373,0.28648247911061864,,0.1906454176742165,0.1906454176742165,0.762581670696866,,-0.1335829312973748,0.1335829312973748,-0.5343317251894992,
S1_R002,S1,2,P70,Bayesian,2.0,0.25,0.25,1.9234453591,1.5077158021,0.7212384128,True,False,2,1,max_rhat=1.0116; divergences=54; min_ess_tail=373.5,False,False,False,False,False,False,1.0116054168,483.9109953452,373.528871378,54.0,0.0,-0.9741823644,5.0770239322,0.0099027569,5.6687319596,0.0136188024,2.4558483499,,False,False,-0.07655464089999997,0.07655464089999997,-0.038277320449999985,1.0,1.2577158021,1.2577158021,5.0308632084,1.0,0.4712384128,0.4712384128,1.8849536512,1.0
S1_R002,S1,2,P70,MLE,2.0,0.25,0.25,1.6339050498659176,0.7788528765715181,1.3838996338791732e-06,True,True,2,1,,False,False,False,False,False,False,,,,,,,,,,,,,False,True,-0.36609495013408244,0.36609495013408244,-0.18304747506704122,,0.5288528765715181,0.5288528765715181,2.1154115062860726,,-0.2499986161003661,0.2499986161003661,-0.9999944644014644,
S1_R002,S1,2,P70,MoM (imputed),2.0,0.25,0.25,1.9621419165651968,0.3107425560960314,0.0006050014826900416,True,True,2,1,,False,False,False,False,False,False,,,,,,,,,,,,MLE,False,True,-0.037858083434803236,0.037858083434803236,-0.018929041717401618,,0.06074255609603141,0.06074255609603141,0.24297022438412563,,-0.24939499851730995,0.24939499851730995,-0.9975799940692398,
S1_R003,S1,3,P69,Bayesian,2.0,0.25,0.25,2.2109172538,0.8941191266,0.3591604934,True,True,10,9,,False,False,False,False,False,False,1.0061764911,702.3100946878,894.9286249282,0.0,0.0,-0.093329898,5.2563136902,0.0132213404,3.546999057,0.2014875368,0.5598176514,,False,True,0.21091725379999993,0.21091725379999993,0.10545862689999996,1.0,0.6441191266,0.6441191266,2.5764765064,1.0,0.1091604934,0.1091604934,0.4366419736,1.0
S1_R003,S1,3,P69,MLE,2.0,0.25,0.25,1.8909652669074093,4.924369904217507,0.3474504981811659,True,True,10,9,,False,False,False,False,False,False,,,,,,,,,,,,,False,True,-0.10903473309259071,0.10903473309259071,-0.054517366546295354,,4.674369904217507,4.674369904217507,18.697479616870027,,0.09745049818116591,0.09745049818116591,0.38980199272466365,
S1_R003,S1,3,P69,MoM,2.0,0.25,0.25,1.9248867031727102,0.8663568509110258,0.07329029693587402,True,True,10,9,,False,False,False,False,False,False,,,,,,,,,,,,,False,True,-0.07511329682728984,0.07511329682728984,-0.03755664841364492,,0.6163568509110258,0.6163568509110258,2.465427403644103,,-0.17670970306412598,0.17670970306412598,-0.7068388122565039,
S1_R004,S1,4,P70,Bayesian,2.0,0.25,0.25,1.9769685097,1.4606239368,0.8466353593,True,False,2,1,divergences=29,False,False,False,False,False,False,1.0065134795,578.5535838033,487.1980333451,29.0,0.0,-1.187504933,5.3348392726,0.0154726773,5.923509479,0.0121287721,2.8556345908,,False,False,-0.023031490299999957,0.023031490299999957,-0.011515745149999979,1.0,1.2106239368,1.2106239368,4.8424957472,1.0,0.5966353593,0.5966353593,2.3865414372,1.0
