method,parameter,n_total,n_finite,n_reliable,bias,mae,median_ae,rmse,coverage_95_percent
Bayesian,mu,300,300,74,0.06985633926566669,0.555117715161,0.4474506939999998,0.7000041285059773,99.66666666666667
Bayesian,theta,300,300,74,0.05735517426533325,0.8569382265173332,0.648059005,1.1215322967664914,96.33333333333334
Bayesian,sigma,300,300,74,0.057652545144333336,0.160935387907,0.11446253945000001,0.2117008742083409,97.66666666666667
MLE,mu,300,295,131,-0.003262705427015942,0.6240557187226635,0.2180246911377668,1.8113183596931606,
MLE,theta,300,295,131,3.097062726838496,3.6834718726068925,2.2831987417789184,4.991824579125892,
MLE,sigma,300,295,131,-0.21278434521635997,0.27058524536741646,0.18108845753137948,0.3776288423427884,
MoM,mu,204,189,189,0.012622951271941567,0.24590180380994697,0.18774043912343363,0.3444553595294072,
MoM,theta,204,189,189,-0.5761963052079399,0.9165930204760712,0.6474654789086539,1.2110461047817684,
MoM,sigma,204,189,189,-0.4346381930333829,0.4346381930333829,0.402671330737474,0.49169490088430556,
MoM (imputed),mu,96,91,91,0.017088348382122177,0.29002740837470137,0.193161765376197,0.3950426184038542,
MoM (imputed),theta,96,91,91,-0.6189380916889814,0.91078829926875,0.7120621536524062,1.1977576467515416,
MoM (imputed),sigma,96,91,91,-0.5078266030546128,0.5078266030546128,0.4933506150053711,0.5664770308097073,
