,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta_raw[0],1.052577,0.783787,-0.427311,2.578271,0.008181,0.0101,9222.424509,5191.756798,0.999733
theta_raw[1],0.068459,1.012359,-1.755264,2.044192,0.008985,0.012125,12750.682468,5744.547254,1.000464
theta_raw[2],1.181953,0.817101,-0.315774,2.74406,0.007646,0.011094,11542.949814,5852.661401,0.999884
theta_raw[3],-0.943071,0.863275,-2.531568,0.723651,0.009186,0.010889,9249.747005,5736.846305,0.99993
theta_raw[4],0.700685,1.00573,-1.19652,2.609989,0.008923,0.012287,12911.093356,5808.404694,1.00035
theta_raw[5],0.079564,1.013725,-1.771904,2.058596,0.009333,0.012828,11768.346108,5873.981131,1.001154
sigma_raw[0],-0.764486,0.738313,-2.217707,0.548762,0.007103,0.009143,11403.245482,5413.99046,1.000049
sigma_raw[1],-0.053344,0.96021,-1.90587,1.703204,0.008638,0.011949,12391.211755,5711.949964,0.999747
sigma_raw[2],-0.19698,0.851064,-1.785432,1.367944,0.009088,0.00943,9401.877887,5833.009929,1.000529
sigma_raw[3],-0.979438,0.698213,-2.304708,0.322278,0.00677,0.008531,10991.210383,5294.733297,1.000325
sigma_raw[4],-0.128886,0.873028,-1.741426,1.48225,0.008138,0.010102,11991.112678,5777.564162,1.001433
sigma_raw[5],-0.179276,0.937739,-1.947402,1.600661,0.008675,0.011433,11756.611795,5822.632629,1.000049
theta[0],1.458771,0.570744,0.439292,2.518856,0.006026,0.0074,9222.424509,5191.756798,0.999733
theta[1],0.89326,0.541866,0.117527,1.871088,0.005464,0.007574,12750.682468,5744.547254,1.000536
theta[2],1.55774,0.610985,0.475014,2.676422,0.005899,0.007838,11542.949814,5852.661401,0.999884
theta[3],0.452016,0.306881,0.087017,0.987962,0.003813,0.007911,9249.747005,5736.846305,0.999919
theta[4],1.258606,0.647142,0.184038,2.416491,0.005775,0.007412,12911.093356,5808.404694,1.000408
theta[5],0.898914,0.546078,0.124983,1.90599,0.005517,0.008357,11768.346108,5873.981131,1.00125
sigma[0],0.23883,0.120925,0.044531,0.453897,0.001131,0.001624,11403.245482,5413.99046,0.999924
sigma[1],0.405677,0.243546,0.050406,0.841217,0.00237,0.003603,12391.211755,5711.949964,0.999745
sigma[2],0.361004,0.189879,0.056622,0.703551,0.00189,0.002023,9401.877887,5833.009929,1.00027
sigma[3],0.202478,0.101064,0.04398,0.385403,0.000986,0.0013,10991.210383,5294.733297,1.00062
sigma[4],0.37903,0.203545,0.057345,0.746915,0.001855,0.002395,11991.112678,5777.564162,1.001124
sigma[5],0.373389,0.222894,0.049512,0.781081,0.002172,0.003189,11756.611795,5822.632629,1.000059
tau_x,0.409641,0.020346,0.37269,0.449498,0.000202,0.00023,10205.733556,6142.706,1.000454
mu_mu,0.744794,0.118515,0.522209,0.967139,0.001429,0.001375,6939.060838,5512.333965,1.000388
mu_sigma,0.128945,0.096124,4e-06,0.298085,0.001315,0.001008,4538.759044,4156.696038,1.000095
z_mu_P1,-0.026651,0.995123,-1.814052,1.869687,0.008653,0.012661,13201.319627,5420.243657,1.000856
z_mu_P100,0.12095,0.964101,-1.77746,1.877126,0.009182,0.0115,11019.912032,5971.099533,1.00002
z_mu_P108,-0.006704,1.009288,-1.8608,1.878429,0.009341,0.013573,11687.561783,5156.155277,1.002672
z_mu_P11,0.079748,0.998674,-1.790752,1.95078,0.008663,0.011978,13296.631727,5969.529451,1.001364
z_mu_P110,-0.072907,0.980256,-1.908304,1.736355,0.008931,0.012268,12038.942997,5809.040124,1.00158
z_mu_P12,-0.079598,0.998236,-1.95265,1.792747,0.008641,0.012068,13354.760692,5866.034575,1.000219
z_mu_P121,0.126218,0.983975,-1.633259,2.036876,0.008832,0.01189,12397.690774,6218.567901,1.000983
z_mu_P123,0.020575,1.001625,-2.007786,1.786815,0.008683,0.01305,13259.954223,5866.045633,1.00095
z_mu_P124,0.130663,0.947991,-1.713953,1.851665,0.008616,0.012193,12036.91537,5798.854689,1.000203
z_mu_P125,0.117487,0.958342,-1.658573,1.937997,0.008695,0.011205,12131.766159,6267.936799,1.000576
z_mu_P126,0.00323,0.994225,-1.804545,1.901032,0.009356,0.013062,11295.247582,4805.090646,1.002214
z_mu_P127,0.092491,0.99166,-1.722597,1.999896,0.008775,0.013861,12753.028231,5488.790968,1.000339
z_mu_P130,0.080424,0.964564,-1.722469,1.912666,0.008782,0.011913,12088.03719,5804.812903,1.000891
z_mu_P133,0.138485,0.974545,-1.816589,1.930557,0.008978,0.012116,11740.162935,6038.683424,0.999995
z_mu_P137,0.158921,0.981334,-1.703061,1.967297,0.009484,0.013032,10721.07349,5524.150102,1.001857
z_mu_P138,0.123865,0.9498,-1.639649,1.882353,0.008741,0.011023,11838.956219,6110.21148,1.000111
z_mu_P15,-0.135158,0.984725,-1.994991,1.721074,0.009508,0.011635,10741.464645,5618.091313,0.999861
z_mu_P16,-0.107901,0.995449,-1.988602,1.774504,0.009144,0.012438,11819.305514,5320.446356,1.00022
z_mu_P17,-0.082114,0.993026,-2.076089,1.659216,0.00872,0.012793,12912.907844,6003.134596,1.000557
z_mu_P19,-0.019605,1.018026,-1.952079,1.868723,0.008943,0.012485,12998.643484,6000.129825,1.00068
z_mu_P2,-0.066653,0.988346,-1.858816,1.865894,0.008961,0.011328,12174.484658,6329.420974,1.000133
z_mu_P22,0.064347,0.985023,-1.802585,1.89075,0.008692,0.011591,12837.156504,5992.959715,1.000029
z_mu_P23,0.018695,1.002204,-1.847784,1.899777,0.00909,0.012537,12155.639094,5966.257609,1.000493
z_mu_P24,-0.027939,0.977651,-1.825306,1.812124,0.009091,0.012117,11589.549849,5626.638719,0.999914
z_mu_P26,-0.043035,0.992278,-1.86748,1.839707,0.009024,0.011894,12092.052013,5862.940375,1.000176
z_mu_P27,-0.192791,0.986736,-2.045664,1.648814,0.008901,0.012002,12269.177408,5518.46581,1.000236
z_mu_P28,-0.003586,1.000493,-1.950957,1.806013,0.009007,0.012395,12323.692939,5962.574262,1.000072
z_mu_P29,-0.094958,1.003275,-2.040078,1.752043,0.009124,0.01267,12078.250061,5330.280725,1.000018
z_mu_P3,0.136364,0.977196,-1.733623,1.919721,0.009024,0.012275,11724.665892,5849.16223,1.001385
z_mu_P30,0.302696,0.907555,-1.43119,2.011256,0.008749,0.011598,10783.865839,5739.612004,1.00071
z_mu_P32,-0.035331,0.948415,-1.750183,1.845219,0.008658,0.01176,11964.245042,5548.373267,0.999943
z_mu_P47,0.146199,0.953762,-1.659078,1.8863,0.008344,0.010859,13042.269502,6055.44892,1.00177
z_mu_P56,-0.476004,0.950716,-2.267016,1.278066,0.009407,0.010477,10477.63006,6549.379563,0.999981
z_mu_P57,0.032747,0.970052,-1.771667,1.851567,0.009024,0.011418,11605.768937,5863.265913,1.000832
z_mu_P58,0.089659,0.980734,-1.704642,1.977305,0.008899,0.01171,12153.582476,6264.312603,1.000651
z_mu_P59,-0.270196,0.991697,-2.000191,1.640239,0.009695,0.012334,10430.689016,6016.554566,1.000373
z_mu_P63,-0.206518,1.003538,-1.998042,1.786002,0.008704,0.01169,13282.462211,6155.177414,1.000159
z_mu_P68,0.046569,0.9794,-1.879739,1.82622,0.008819,0.011438,12342.000344,5443.597624,1.000458
z_mu_P69,0.006935,0.994362,-1.894275,1.885637,0.009298,0.012696,11411.108045,5583.979819,1.000499
z_mu_P7,-0.01435,0.986132,-1.979094,1.756157,0.009433,0.011684,10895.831228,5923.617311,0.999978
z_mu_P70,0.13061,0.954488,-1.737642,1.892943,0.008556,0.011999,12398.599115,5965.484829,1.000201
z_mu_P77,-0.017174,0.99213,-1.901044,1.86717,0.009387,0.012487,11132.225479,5513.565861,1.000086
z_mu_P8,-0.049379,0.998207,-1.899989,1.85783,0.00909,0.013087,12054.208974,5833.230628,1.000109
z_mu_P83,-0.207163,0.965718,-2.062676,1.592233,0.009084,0.012012,11285.346539,5929.822062,1.00006
z_mu_P89,-0.102154,0.978794,-1.922252,1.739789,0.008516,0.011415,13229.448094,6451.893163,1.000334
z_mu_P95,0.130502,0.970594,-1.625168,1.995303,0.009226,0.012658,11066.629885,5934.007839,1.000059
z_mu_P99,0.1258,0.954612,-1.631364,1.946273,0.008978,0.011704,11334.13051,6232.32231,1.000116
mu_P1,0.740033,0.198985,0.356437,1.115992,0.002248,0.002673,8146.556845,5810.739553,1.00019
mu_P100,0.767462,0.188191,0.428318,1.133771,0.002145,0.002839,8332.216471,6401.059864,0.999833
