,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_mu,-0.003,0.014,-0.03,0.023,0.0,0.0,2337.0,4331.0,1.0
mu_sigma,0.015,0.011,0.0,0.035,0.0,0.0,2235.0,3408.0,1.0
"theta[0, 0]",1.794,0.597,0.749,2.897,0.013,0.006,1901.0,3494.0,1.0
"theta[1, 0]",1.222,0.565,0.358,2.238,0.005,0.008,13028.0,5655.0,1.0
"theta[2, 0]",1.595,0.591,0.571,2.684,0.01,0.006,3379.0,5649.0,1.0
"theta[3, 0]",1.611,0.573,0.592,2.662,0.01,0.006,3261.0,3661.0,1.0
"theta[4, 0]",1.493,0.57,0.552,2.55,0.008,0.006,4781.0,5944.0,1.0
"theta[5, 0]",1.4,0.589,0.426,2.446,0.006,0.007,9243.0,6255.0,1.0
"sigma[0, 0]",0.146,0.051,0.066,0.241,0.003,0.002,244.0,703.0,1.01
"sigma[1, 0]",0.287,0.138,0.077,0.536,0.002,0.002,3262.0,5591.0,1.0
"sigma[2, 0]",0.233,0.084,0.087,0.386,0.003,0.001,603.0,1191.0,1.0
"sigma[3, 0]",0.206,0.073,0.076,0.332,0.003,0.001,455.0,1010.0,1.01
"sigma[4, 0]",0.209,0.074,0.085,0.348,0.003,0.001,696.0,1241.0,1.0
"sigma[5, 0]",0.196,0.084,0.067,0.351,0.002,0.001,1297.0,3150.0,1.0
"r[0, 0]",0.17,0.202,-0.21,0.548,0.002,0.002,15158.0,5944.0,1.0
"r[1, 0]",0.155,0.373,-0.533,0.854,0.003,0.005,13241.0,5539.0,1.0
"r[2, 0]",0.199,0.279,-0.322,0.715,0.002,0.004,14034.0,5966.0,1.0
"r[3, 0]",0.401,0.252,-0.065,0.881,0.002,0.003,14150.0,5975.0,1.0
"r[4, 0]",0.152,0.275,-0.381,0.643,0.002,0.003,14317.0,6036.0,1.0
"r[5, 0]",0.113,0.327,-0.52,0.704,0.003,0.004,13390.0,5297.0,1.0
tau_x,0.181,0.012,0.158,0.203,0.0,0.0,669.0,950.0,1.0
phi,4.062,0.54,3.094,5.067,0.004,0.007,15549.0,6023.0,1.0
